character,sentence_count,image
Homer,28463,https://img.icons8.com/doodle/48/homer-simpson.png
Marge,13393,https://img.icons8.com/doodle/48/marge-simpson.png
Bart,13321,https://img.icons8.com/doodle/48/bart-simpson.png
Lisa,10964,https://img.icons8.com/doodle/48/lisa-simpson.png
Mr. Burns,3188,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
Moe,2901,https://img.icons8.com/doodle/48/bartender-mo.png
Flanders,2545,https://img.icons8.com/doodle/48/ned-flanders.png
Grampa,1902,https://img.icons8.com/doodle/48/abraham-simpson.png
Chief Wiggum,1878,https://img.icons8.com/doodle/48/clancy-wiggum.png
Milhouse,1864,https://img.icons8.com/doodle/48/milhouse-van-houten.png
Krusty,1756,https://img.icons8.com/doodle/48/krusty-the-clown.png
Lenny,1190,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
Nelson,1189,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
Apu,1004,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
Smithers,981,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
Brockman,908,https://static.simpsonswiki.com/images/3/35/Tapped_Out_Brockman_Sidebar.png
Carl,884,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
Edna Krabappel,769,https://static.simpsonswiki.com/images/1/14/Tapped_Out_Mrs._Krabappel_Icon.png
Dr. Hibbert,690,https://static.simpsonswiki.com/images/d/d5/Tapped_Out_Dr._Hibbert_Icon.png
Selma,579,https://static.simpsonswiki.com/images/8/8f/Tapped_Out_Selma_Icon.png
Barney,578,https://img.icons8.com/doodle/48/barney-gumble.png
Rev. Lovejoy,566,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
Sideshow Bob,529,https://static.simpsonswiki.com/images/6/68/Tapped_Out_Sideshow_Bob_Icon_-_Serious.png
Groundskeeper Willie,521,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Chainsaw_Willie_Icon_-_Happy.png
Chalmers,520,https://static.simpsonswiki.com/images/5/58/Tapped_Out_Chalmers_Icon.png
Mayor Quimby,511,https://static.simpsonswiki.com/images/e/e3/Tapped_Out_Quimby_Icon.png
Ralph,479,https://img.icons8.com/doodle/48/ralf.png
Comic Book Guy,476,https://static.simpsonswiki.com/images/a/a9/Tapped_Out_Comic_Book_Guy_Icon.png
Patty,474,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
Lou,454,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
Otto,407,https://static.simpsonswiki.com/images/4/48/Tapped_Out_Conductor_Otto_Sidebar.png
Martin Prince,399,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
Professor Frink,363,https://static.simpsonswiki.com/images/0/09/Tapped_Out_Professor_Frink_Icon_-_Deadpan.png
Jimbo,358,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
Sideshow Mel,347,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
Fat Tony,289,https://static.simpsonswiki.com/images/1/1b/Tapped_Out_Fat_Tony_Icon.png
Agnes Skinner,258,https://static.simpsonswiki.com/images/b/b1/Tapped_Out_Agnes_Sidebar.png
Kirk,237,https://static.simpsonswiki.com/images/6/61/Tapped_Out_Acorn_Kirk_Icon.png
Cletus,228,https://static.simpsonswiki.com/images/a/a0/Tapped_Out_Cletus_Icon_-_Smiling.png
Duffman,93,https://static.simpsonswiki.com/images/1/18/Tapped_Out_Duffman_Icon.png
